dataset,fanout,batchsize,10% cache,15% cache,20% cache,30% cache,50% cache,70% cache
friendster,"10,15,20",1024,5.397,4.418,2.965,1.614,0.561,0.164
igb-full,"10,15,20",1024,10.487,4.927,1.927,0.149,0,0
