0,-1,-1,0.23,0,0,0,0
0.003,14.964,1.33,2.01,0,0,0,0
0.01,50.918,8.35,6.52,0,0,0,0
0.1,290.257,36.65,49.5,0,0,0,0
0.201,456.329,46.35,56.44,0,0,0,0
0.5,888.476,54.82,61.25,0,0,0,0
0,1702.03,56.39,61.22,0,61.22,0,0
1,1380.643,62.78,62.49,0,62.49,0,1
2,1337.301,63.73,62.95,0,62.95,0,2
3,1312.933,64.23,62.97,0,62.97,0,3
4,1292.961,64.61,63.7,0,63.7,0,4
5,1279.112,64.94,62.89,0,63.7,0,4
6,1271.405,65.05,63.28,0,63.7,0,4
7,1261.947,65.25,63.77,0,63.77,0,7
8,1254.701,65.4,64.37,0,64.37,0,8
9,1247.374,65.5,63.79,0,64.37,0,8
10,1244.831,65.55,63.28,0,64.37,0,8
11,1239.791,65.68,63.89,0,64.37,0,8
12,1235.997,65.73,64.19,0,64.37,0,8
13,1232.051,65.81,63.85,0,64.37,0,8
14,1229.493,65.84,63.14,0,64.37,0,8
15,1226.624,65.92,64.01,0,64.37,0,8
16,1225.22,65.89,64.11,0,64.37,0,8
17,1221.967,66.02,63.84,0,64.37,0,8
18,1220.255,66.04,65.04,0,65.04,0,18
19,1217.749,66.06,64.98,0,65.04,0,18
20,1215.784,66.12,64.64,0,65.04,0,18
21,1214.297,66.08,63.56,0,65.04,0,18
22,1212.564,66.17,63.76,0,65.04,0,18
23,1212.356,66.19,64.28,0,65.04,0,18
24,1209.447,66.22,64.45,0,65.04,0,18
25,1208.23,66.22,64.48,0,65.04,0,18
26,1208.761,66.21,65.23,0,65.23,0,26
27,1206.414,66.24,65.2,0,65.23,0,26
28,1205.879,66.27,65.33,0,65.33,0,28
29,1203.724,66.31,64.34,0,65.33,0,28
30,1203.311,66.33,64.97,0,65.33,0,28
31,1201.474,66.36,65.61,0,65.61,0,31
32,1202.108,66.33,65.36,0,65.61,0,31
33,1201.092,66.34,65.15,0,65.61,0,31
34,1200.593,66.4,65.32,0,65.61,0,31
35,1199.297,66.43,64.22,0,65.61,0,31
36,1197.646,66.47,65.65,0,65.65,0,36
37,1197.395,66.45,66.09,0,66.09,0,37
38,1197.124,66.43,65.11,0,66.09,0,37
39,1195.333,66.48,65.73,0,66.09,0,37
40,1195.813,66.5,64.8,0,66.09,0,37
41,1195.26,66.49,65.66,0,66.09,0,37
42,1194.243,66.53,65.09,0,66.09,0,37
43,1193.639,66.52,64.69,0,66.09,0,37
44,1193.363,66.54,65.47,0,66.09,0,37
45,1193.331,66.5,65.06,0,66.09,0,37
46,1192.799,66.51,65.46,0,66.09,0,37
47,1191.61,66.6,66.48,0,66.48,0,47
48,1191.449,66.58,65.86,0,66.48,0,47
49,1191.647,66.56,66.09,0,66.48,0,47
