Dataset,3x,5x,7x,unlimited,Ginex,original_blowup
Friendster,262.89,108.92,96.67,96.67,847.00,5.39
IGB-HOM,4727.84,3197.72,2090.64,960.73,7635.78,10.48





