friendster,"10,15,20",1024,1.0,0,-1.0,0,641,10512323,3.11,0.0,1.0,6.11,0.04,2.52,0.01,0.0,0.0,0.0,0.04,40.98,0.31,3.59,56.71
friendster,"10,15,20",1024,1.0,2e+09,-1.0,0,641,5905633,3.43,0.0,1.0,6.67,0.04,2.99,0.01,0.0,0.0,0.0,0.11,23.63,0.35,3.61,40.84
friendster,"10,15,20",1024,1.0,0,-1.0,0,641,97403819,3.42,0.0,1.0,5.79,0.04,2.4,0.02,0.0,0.0,0.0,0.33,385.13,2.88,35.89,435.9
friendster,"10,15,20",1024,1.0,2e+09,-1.0,0,641,54670167,3.54,0.0,1.0,6.17,0.04,2.8,0.02,0.0,0.0,0.0,0.76,220.3,2.3,20.97,256.91
igb-full,"10,15,20",1024,0.1,0,-1.0,0,13309,119107788,4.66,0.0,1.0,71.42,0.16,28.71,0.02,0.0,0.0,0.0,0.46,486.91,3.31,41.82,637.47
igb-full,"10,15,20",1024,0.1,5e+09,-1.0,0,13309,65995621,4.7,0.0,1.0,75.83,0.16,32.73,0.02,0.0,0.0,0.0,1.09,274.98,2.6,23.66,415.78
